SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1181,ACMA,320,BRNBY,35,23,Barbara Sanders,LEC
1181,ACMA,320,BRNBY,35,23,Barbara Sanders,TUT
1181,ACMA,336,METRO,10,0,Natalie Erickson,PRA
1181,ACMA,336,OFFST,10,0,Natalie Erickson,PRA
1181,ACMA,336,OFFST,10,0,Natalie Erickson,PRA
1181,ACMA,337,METRO,10,1,Natalie Erickson,PRA
1181,ACMA,337,OFFST,10,2,Natalie Erickson,PRA
1181,ACMA,337,OFFST,10,1,Natalie Erickson,PRA
1181,ACMA,340,BRNBY,30,21,Jean-Francois Begin,LEC
1181,ACMA,340,BRNBY,30,21,Jean-Francois Begin,TUT
1181,ACMA,436,METRO,10,1,Natalie Erickson,PRA
1181,ACMA,436,OFFST,10,1,Natalie Erickson,PRA
1181,ACMA,436,OFFST,10,0,Natalie Erickson,PRA
1181,ACMA,437,METRO,10,1,Natalie Erickson,PRA
1181,ACMA,437,OFFST,10,1,Natalie Erickson,PRA
1181,ACMA,437,OFFST,10,0,Natalie Erickson,PRA
1181,ACMA,438,METRO,10,0,Natalie Erickson,PRA
1181,ACMA,438,OFFST,10,0,Natalie Erickson,PRA
1181,ACMA,438,OFFST,10,0,Natalie Erickson,PRA
1181,ACMA,455,BRNBY,30,7,Chi-Liang Tsai,LEC
1181,ACMA,455,BRNBY,30,7,Chi-Liang Tsai,TUT
1181,ACMA,470,VANCR,18,7,John Giles,LEC
1181,ACMA,490,BRNBY,5,0,<null>,LEC
1181,ACMA,490,BRNBY,5,0,<null>,TUT
1181,ACMA,490,BRNBY,5,1,Chi-Liang Tsai,LEC
1181,ACMA,490,BRNBY,5,1,Chi-Liang Tsai,TUT
1181,ACMA,490,BRNBY,5,0,Barbara Sanders,LEC
1181,ACMA,490,BRNBY,5,0,Barbara Sanders,TUT
1181,ACMA,850,BRNBY,7,0,<null>,LEC
1181,ACMA,850,BRNBY,7,0,<null>,TUT
1181,ACMA,850,BRNBY,5,3,Chi-Liang Tsai,LEC
1181,ACMA,850,BRNBY,7,4,Barbara Sanders,LEC
1181,ACMA,850,BRNBY,7,4,Barbara Sanders,TUT
1181,ALS,603,SURRY,35,27,Margaret Hall,SEM
1181,ALS,611,SURRY,35,27,Ronald Usher,SEM
1181,ALS,620,SURRY,35,27,Graeme Bowbrick,SEM
1181,APMA,905,BRNBY,25,18,Weiran Sun,SEC
1181,APMA,990,BRNBY,25,6,Nilima Nigam,SEC
1181,APMA,995,BRNBY,15,0,Steven Ruuth,SEC
1181,ARAB,134,BRNBY,25,20,Rastin Mehri,SEC
1181,ARAB,148,BRNBY,25,6,Rastin Mehri,TUT
1181,ARCH,100,BRNBY,60,55,Ross Jamieson,SEC
1181,ARCH,100,BRNBY,152,134,David Maxwell,LEC
1181,ARCH,100,BRNBY,220,155,Francesco Berna,LEC
1181,ARCH,100,SURRY,120,74,Dennis Sandgathe,LEC
1181,ARCH,131,BRNBY,60,56,Dennis Sandgathe,SEC
1181,ARCH,131,BRNBY,300,190,Dennis Sandgathe,LEC
1181,ARCH,131,SURRY,120,90,Dennis Sandgathe,LEC
1181,ARCH,201,BRNBY,60,52,David Maxwell,LEC
1181,ARCH,226,BRNBY,60,57,David Maxwell,SEC
1181,ARCH,252,VANCR,32,13,Richard Chia,LEC
1181,ARCH,273,BRNBY,60,47,David Maxwell,LEC
1181,ARCH,285,BRNBY,45,25,Francesco Berna,LEC
1181,ARCH,301,BRNBY,60,35,Barbara Winter,SEC
1181,ARCH,322,BRNBY,35,21,Birute Galdikas,LEC
1181,ARCH,329,BRNBY,30,13,Michael Richards,LEC
1181,ARCH,332,BRNBY,40,14,Sabrina Higgins,SEC
1181,ARCH,340,BRNBY,36,21,Christina Giovas,LEC
1181,ARCH,340,BRNBY,36,21,. Faculty,LAB
1181,ARCH,340,BRNBY,0,0,. Faculty,OPL
1181,ARCH,344,BRNBY,48,45,Birute Galdikas,LEC
1181,ARCH,350,BRNBY,1,0,Paul Degrace,SEC
1181,ARCH,350,OFFST,1,0,Paul Degrace,SEC
1181,ARCH,351,BRNBY,1,0,Paul Degrace,SEC
1181,ARCH,351,OFFST,1,0,Paul Degrace,SEC
1181,ARCH,372,BRNBY,35,0,<null>,LEC
1181,ARCH,372,BRNBY,18,0,<null>,LAB
1181,ARCH,372,BRNBY,17,0,<null>,LAB
1181,ARCH,372,BRNBY,0,0,<null>,OPL
1181,ARCH,377,BRNBY,45,15,Ross Jamieson,LEC
1181,ARCH,377,BRNBY,24,8,Ross Jamieson,LAB
1181,ARCH,377,BRNBY,21,7,Ross Jamieson,LAB
1181,ARCH,377,BRNBY,0,0,Ross Jamieson,OPL
1181,ARCH,383,BRNBY,48,34,Dongya Yang,LEC
1181,ARCH,386,BRNBY,25,26,Robert Muir,LEC
1181,ARCH,450,BRNBY,1,0,Paul Degrace,SEC
1181,ARCH,450,OFFST,1,0,Paul Degrace,SEC
1181,ARCH,451,BRNBY,1,0,Paul Degrace,SEC
1181,ARCH,451,OFFST,1,0,Paul Degrace,SEC
1181,ARCH, 471W,BRNBY,35,27,George Nicholas,LEC
1181,ARCH, 471W,BRNBY,35,27,George Nicholas,SEM
1181,ARCH,479,BRNBY,1,1,Dennis Sandgathe,SEC
1181,ARCH,479,BRNBY,1,1,Dennis Sandgathe,SEC
1181,ARCH,479,BRNBY,1,0,. Faculty,SEC
1181,ARCH,480,BRNBY,1,0,Deborah Merrett,SEC
1181,ARCH,480,BRNBY,1,0,. Faculty,SEC
1181,ARCH,480,BRNBY,1,1,Deborah Merrett,SEC
1181,ARCH,480,BRNBY,1,0,. Faculty,SEC
1181,ARCH,485,BRNBY,35,0,<null>,LEC
1181,ARCH,485,BRNBY,17,0,<null>,LAB
1181,ARCH,485,BRNBY,18,0,<null>,LAB
1181,ARCH,485,BRNBY,0,0,<null>,OPL
1181,ARCH,498,BRNBY,1,0,. Faculty,SEC
1181,ARCH,498,BRNBY,1,0,. Faculty,SEC
1181,ARCH,498,BRNBY,1,0,. Faculty,SEC
1181,ARCH,498,BRNBY,1,0,. Faculty,SEC
1181,ARCH,499,BRNBY,1,1,Francesco Berna,SEC
1181,ARCH,499,BRNBY,1,1,. Faculty,SEC
1181,ARCH,499,BRNBY,1,1,Michael Richards,SEC
1181,ARCH,499,BRNBY,1,1,Hugo Cardoso,SEC
1181,ARCH,551,BRNBY,10,11,. Faculty,IND
1181,ARCH,561,BRNBY,10,11,David Maxwell,IND
1181,ARCH,591,BRNBY,1,0,. Faculty,RSC
1181,ARCH,591,BRNBY,1,0,. Faculty,RSC
1181,ARCH,872,BRNBY,35,6,George Nicholas,LEC
1181,ARCH,873,BRNBY,35,6,George Nicholas,SEC
1181,ARCH,874,BRNBY,5,4,. Faculty,RSC
1181,ARCH,874,OFFST,12,1,. Faculty,RSC
1181,ARCH,875,BRNBY,5,6,. Faculty,IND
1181,ARCH,875,OFFST,12,1,. Faculty,IND
1181,ARCH,876,BRNBY,12,12,Dana Lepofsky,SEM
1181,ARCH,892,BRNBY,1,0,. Faculty,SEC
1181,ARCH,892,BRNBY,1,0,. Faculty,SEC
1181,ARCH,893,BRNBY,1,1,Sabrina Higgins,SEC
1181,ARCH,893,BRNBY,1,0,Angela D'Andrea,SEC
1181,ARCH,893,OFFST,1,1,Angela D'Andrea,SEC
1181,ARCH,893,BRNBY,1,1,Hugo Cardoso,SEC
1181,ARCH,893,BRNBY,1,1,Francesco Berna,SEC
1181,ARCH,893,BRNBY,1,1,Mark Collard,SEC
1181,ARCH,893,BRNBY,1,1,Mark Collard,SEC
1181,ARCH,896,OFFST,1,1,Angela D'Andrea,SEC
1181,ARCH,896,BRNBY,1,1,Hugo Cardoso,SEC
1181,ARCH,896,BRNBY,1,1,Jonathan Driver,SEC
1181,ARCH,896,BRNBY,1,1,Jonathan Driver,SEC
1181,ARCH,898,BRNBY,15,6,. Faculty,SEC
1181,ARCH,898,OFFST,15,1,. Faculty,SEC
1181,ARCH,898,OFFST,10,8,. Faculty,SEC
1181,ARCH,899,BRNBY,10,4,. Faculty,SEC
1181,ARCH,899,OFFST,10,3,. Faculty,SEC
1181,ASC,101,SURRY,60,48,Simon Nantais,LEC
1181,ASC,300,VANCR,26,7,Michael Newton,SEM
1181,ASC,400,BRNBY,26,6,Paul Crowe,SEM
1181,ASC,401,BRNBY,0,0,<null>,SEC
1181,BISC,101,BRNBY,384,328,Zamir Punja,LEC
1181,BISC,101,BRNBY,384,328,Kevin Lam,LEC
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,19,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,16,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,21,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,21,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,23,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,20,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,0,<null>,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,24,Peter Hollmann,LAB
1181,BISC,101,BRNBY,24,16,Peter Hollmann,LAB
1181,BISC,102,BRNBY,320,228,Ronald Ydenberg,LEC
1181,BISC,102,BRNBY,20,19,Erin Barley,LAB
1181,BISC,102,BRNBY,20,19,Erin Barley,LAB
1181,BISC,102,BRNBY,20,20,Erin Barley,LAB
1181,BISC,102,BRNBY,20,20,Erin Barley,LAB
1181,BISC,102,BRNBY,20,0,<null>,LAB
1181,BISC,102,BRNBY,20,0,<null>,LAB
1181,BISC,102,BRNBY,20,18,Onkar Bains,LAB
1181,BISC,102,BRNBY,20,18,Onkar Bains,LAB
1181,BISC,102,BRNBY,20,0,<null>,LAB
1181,BISC,102,BRNBY,20,0,<null>,LAB
1181,BISC,102,BRNBY,20,20,Tamila McMullan,LAB
1181,BISC,102,BRNBY,20,20,Tamila McMullan,LAB
1181,BISC,102,BRNBY,20,19,Onkar Bains,LAB
1181,BISC,102,BRNBY,20,18,Onkar Bains,LAB
1181,BISC,102,BRNBY,20,20,Tamila McMullan,LAB
1181,BISC,102,BRNBY,20,17,Tamila McMullan,LAB
1181,BISC,102,BRNBY,20,17,Onkar Bains,LAB
1181,BISC,102,SURRY,144,116,Ivona Mladenovic,LEC
1181,BISC,102,SURRY,24,21,<null>,TUT
1181,BISC,102,SURRY,24,24,<null>,TUT
1181,BISC,102,SURRY,24,24,<null>,TUT
1181,BISC,102,SURRY,24,23,<null>,TUT
1181,BISC,102,SURRY,24,24,<null>,TUT
1181,BISC,102,SURRY,24,0,<null>,TUT
1181,BISC,102,SURRY,48,48,Ivona Mladenovic,LAB
1181,BISC,102,SURRY,48,48,Ivona Mladenovic,LAB
1181,BISC,102,SURRY,48,20,Ivona Mladenovic,LAB
1181,BISC,111,BRNBY,40,17,Julian Christians,LEC
1181,BISC,111,BRNBY,20,17,<null>,TUT
1181,BISC,111,BRNBY,20,0,<null>,TUT
1181,BISC,113,BRNBY,75,64,Joan Sharp,SEC
1181,BISC,202,BRNBY,227,183,Kevin Lam,LEC
1181,BISC,202,BRNBY,21,21,<null>,TUT
1181,BISC,202,BRNBY,24,21,<null>,TUT
1181,BISC,202,BRNBY,24,24,<null>,TUT
1181,BISC,202,BRNBY,21,16,<null>,TUT
1181,BISC,202,BRNBY,0,0,<null>,TUT
1181,BISC,202,BRNBY,24,24,<null>,TUT
1181,BISC,202,BRNBY,24,23,<null>,TUT
1181,BISC,202,BRNBY,24,21,<null>,TUT
1181,BISC,202,BRNBY,24,21,<null>,TUT
1181,BISC,202,BRNBY,21,12,<null>,TUT
1181,BISC,202,BRNBY,20,0,<null>,TUT
1181,BISC,202,BRNBY,0,0,<null>,TUT
1181,BISC,204,BRNBY,120,86,Jennifer Cory,LEC
1181,BISC,204,BRNBY,21,19,<null>,TUT
1181,BISC,204,BRNBY,21,17,<null>,TUT
1181,BISC,204,BRNBY,21,13,<null>,TUT
1181,BISC,204,BRNBY,21,21,<null>,TUT
1181,BISC,204,BRNBY,21,16,<null>,TUT
1181,BISC,204,BRNBY,15,0,<null>,TUT
1181,BISC,298,BRNBY,20,4,<null>,LAB
1181,BISC,300,BRNBY,160,91,Rolf Mathewes,LEC
1181,BISC,300,BRNBY,20,20,<null>,TUT
1181,BISC,300,BRNBY,20,16,<null>,TUT
1181,BISC,300,BRNBY,20,0,<null>,TUT
1181,BISC,300,BRNBY,20,14,<null>,TUT
1181,BISC,300,BRNBY,20,20,<null>,TUT
1181,BISC,300,BRNBY,20,0,<null>,TUT
1181,BISC,300,BRNBY,20,21,<null>,TUT
1181,BISC,300,BRNBY,20,0,<null>,TUT
1181,BISC, 302W,BRNBY,96,90,Kathleen Fitzpatrick,LEC
1181,BISC, 302W,BRNBY,32,32,Kathleen Fitzpatrick,LAB
1181,BISC, 302W,BRNBY,32,31,Kathleen Fitzpatrick,LAB
1181,BISC, 302W,BRNBY,32,27,Kathleen Fitzpatrick,LAB
1181,BISC, 302W,BRNBY,0,0,<null>,LAB
1181,BISC,306,BRNBY,88,45,Michael Hart,LEC
1181,BISC,306,BRNBY,22,0,Erin Barley,LAB
1181,BISC,306,BRNBY,22,23,Erin Barley,LAB
1181,BISC,306,BRNBY,22,22,Erin Barley,LAB
1181,BISC,306,BRNBY,22,0,Erin Barley,LAB
1181,BISC,309,BRNBY,57,52,Nick Dulvy,LEC
1181,BISC,309,BRNBY,17,0,<null>,TUT
1181,BISC,309,BRNBY,19,0,<null>,TUT
1181,BISC,309,BRNBY,19,19,<null>,TUT
1181,BISC,309,BRNBY,19,18,<null>,TUT
1181,BISC,309,BRNBY,19,15,<null>,TUT
1181,BISC,313,BRNBY,72,71,Christopher Kennedy,LEC
1181,BISC,313,BRNBY,24,25,<null>,TUT
1181,BISC,313,BRNBY,24,24,<null>,TUT
1181,BISC,313,BRNBY,24,22,<null>,TUT
1181,BISC,318,BRNBY,72,55,Carl Lowenberger,LEC
1181,BISC,318,BRNBY,24,28,Tamila McMullan,LAB
1181,BISC,318,BRNBY,24,27,Tamila McMullan,LAB
1181,BISC,318,BRNBY,24,0,Tamila McMullan,LAB
1181,BISC,333,BRNBY,140,87,Sherryl Bisgrove,LEC
1181,BISC,333,BRNBY,20,18,<null>,TUT
1181,BISC,333,BRNBY,20,17,<null>,TUT
1181,BISC,333,BRNBY,20,16,<null>,TUT
1181,BISC,333,BRNBY,20,17,<null>,TUT
1181,BISC,333,BRNBY,20,19,<null>,TUT
1181,BISC,333,BRNBY,20,0,<null>,TUT
1181,BISC,333,BRNBY,20,0,<null>,TUT
1181,BISC,337,BRNBY,60,56,Mala Fernando,LEC
1181,BISC,337,BRNBY,20,20,Mala Fernando,LAB
1181,BISC,337,BRNBY,20,20,Mala Fernando,LAB
1181,BISC,337,BRNBY,20,16,Mala Fernando,LAB
1181,BISC,341,BRNBY,20,4,Magnus Billings,SEC
1181,BISC,341,OFFST,5,0,Magnus Billings,SEC
1181,BISC,341,OFFST,5,0,Magnus Billings,SEC
1181,BISC,342,BRNBY,20,8,Magnus Billings,SEC
1181,BISC,342,OFFST,5,2,Magnus Billings,SEC
1181,BISC,342,OFFST,5,1,Magnus Billings,SEC
1181,BISC,366,BRNBY,60,21,Eunice Chin,LEC
1181,BISC,366,BRNBY,20,11,<null>,TUT
1181,BISC,366,BRNBY,20,0,<null>,TUT
1181,BISC,366,BRNBY,20,10,<null>,TUT
1181,BISC,405,BRNBY,100,85,Gordon Rintoul,LEC
1181,BISC,405,BRNBY,20,16,<null>,TUT
1181,BISC,405,BRNBY,20,15,<null>,TUT
1181,BISC,405,BRNBY,20,19,<null>,TUT
1181,BISC,405,BRNBY,20,19,<null>,TUT
1181,BISC,405,BRNBY,20,16,<null>,TUT
1181,BISC,412,BRNBY,56,55,Jonathan Moore,LEC
1181,BISC,412,BRNBY,28,27,<null>,LAB
1181,BISC,412,BRNBY,28,28,<null>,LAB
1181,BISC,420,BRNBY,63,56,David Green,LEC
1181,BISC,420,BRNBY,20,21,<null>,TUT
1181,BISC,420,BRNBY,20,17,<null>,TUT
1181,BISC,420,BRNBY,20,18,<null>,TUT
1181,BISC,421,BRNBY,24,7,Eirikur Palsson,LEC
1181,BISC,421,BRNBY,24,7,<null>,TUT
1181,BISC,422,BRNBY,80,52,Felix Breden,LEC
1181,BISC,422,BRNBY,20,20,<null>,TUT
1181,BISC,422,BRNBY,20,16,<null>,TUT
1181,BISC,422,BRNBY,20,0,<null>,TUT
1181,BISC,422,BRNBY,20,16,<null>,TUT
1181,BISC,443,BRNBY,10,4,Magnus Billings,SEC
1181,BISC,443,OFFST,5,0,Magnus Billings,SEC
1181,BISC,443,OFFST,5,0,Magnus Billings,SEC
1181,BISC,444,BRNBY,10,1,Magnus Billings,SEC
1181,BISC,444,OFFST,5,0,Magnus Billings,SEC
1181,BISC,444,OFFST,5,0,Magnus Billings,SEC
1181,BISC,446,BRNBY,10,2,Magnus Billings,SEC
1181,BISC,446,OFFST,5,0,Magnus Billings,SEC
1181,BISC,446,OFFST,5,0,Magnus Billings,SEC
1181,BISC,472,BRNBY,90,45,Julian Guttman,LEC
1181,BISC,490,BRNBY,5,3,<null>,SEC
1181,BISC,491,BRNBY,10,4,<null>,SEC
1181,BISC, 492W,BRNBY,10,4,<null>,SEC
1181,BISC, 497W,BRNBY,10,6,<null>,LAB
1181,BISC,498,BRNBY,30,19,<null>,SEC
1181,BISC,499,BRNBY,10,8,<null>,SEC
1181,BISC,652,BRNBY,20,5,Vicki Marlatt,SEC
1181,BISC,656,BRNBY,26,18,. Faculty,SEC
1181,BISC,656,OFFST,6,1,. Faculty,SEC
1181,BISC,657,METRO,6,0,Paul Degrace,PRA
1181,BISC,657,OFFST,6,0,Paul Degrace,PRA
1181,BISC,657,OFFST,5,0,<null>,PRA
1181,BISC,658,METRO,5,0,Paul Degrace,PRA
1181,BISC,658,OFFST,5,0,Paul Degrace,PRA
1181,BISC,658,OFFST,5,0,<null>,PRA
1181,BISC,800,BRNBY,20,17,Isabelle Cote,SEM
1181,BISC,807,BRNBY,20,7,Tony Williams,SEC
1181,BISC,820,BRNBY,15,2,Margo Moore,SEM
1181,BISC,831,BRNBY,10,2,David Green,SEM
1181,BISC,832,BRNBY,10,0,David Green,SEM
1181,BISC,833,BRNBY,10,0,David Green,SEM
1181,BISC,847,BRNBY,15,13,Zamir Punja,SEC
1181,BISC,849,BRNBY,20,10,. Faculty,SEC
1181,BISC,849,OFFST,6,2,. Faculty,SEC
1181,BISC,854,BRNBY,20,10,Leah Bendell-Young,LEC
1181,BISC,869,BRNBY,15,5,Harald Hutter,LEC
1181,BISC,883,BRNBY,15,9,Vicki Marlatt,SEM
1181,BISC,888,BRNBY,15,0,. Faculty,SEC
1181,BISC,889,BRNBY,15,0,. Faculty,SEC
1181,BISC,890,BRNBY,15,2,. Faculty,SEC
1181,BISC,892,BRNBY,7,4,. Faculty,RSC
1181,BISC,892,OFFST,5,1,. Faculty,RSC
1181,BISC,898,BRNBY,90,43,. Faculty,SEC
1181,BISC,898,OFFST,25,1,. Faculty,SEC
1181,BISC,899,BRNBY,85,47,. Faculty,SEC
1181,BISC,899,OFFST,25,7,. Faculty,SEC
1181,BOT,110,BRNBY,0,198,<null>,SEM
1181,BOT,120,BRNBY,30,30,<null>,SEM
1181,BOT,120,BRNBY,30,30,<null>,SEM
1181,BOT,120,BRNBY,30,30,<null>,SEM
1181,BOT,120,BRNBY,30,31,<null>,SEM
1181,BOT,120,BRNBY,30,29,<null>,SEM
1181,BOT,120,SURRY,25,27,<null>,SEM
1181,BOT,120,BRNBY,30,31,<null>,SEM
1181,BOT,120,SURRY,27,0,<null>,SEM
1181,BOT,140,BRNBY,28,27,<null>,SEM
1181,BOT,140,BRNBY,28,25,<null>,SEM
1181,BOT,140,BRNBY,28,28,<null>,SEM
1181,BOT,140,BRNBY,27,0,<null>,SEM
1181,BOT,140,SURRY,28,26,<null>,SEM
1181,BOT,145,BRNBY,32,31,<null>,SEM
1181,BOT,145,BRNBY,33,33,<null>,SEM
1181,BOT,145,BRNBY,33,33,<null>,SEM
1181,BOT,145,BRNBY,32,32,<null>,SEM
1181,BOT,145,SURRY,32,30,<null>,SEM
1181,BOT,150,BRNBY,100,52,<null>,SEM
1181,BPK,105,BRNBY,60,54,Ryan Dill,SEC
1181,BPK,105,BRNBY,60,49,Ryan Dill,SEC
1181,BPK,110,BRNBY,70,66,Leanne Ramer,SEC
1181,BPK,110,BRNBY,70,68,Leanne Ramer,SEC
1181,BPK,110,BRNBY,315,304,Diana Bedoya,LEC
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,20,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,20,. TBD,TUT
1181,BPK,110,BRNBY,21,19,. TBD,TUT
1181,BPK,110,BRNBY,21,18,. TBD,TUT
1181,BPK,110,BRNBY,21,18,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,20,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,BRNBY,21,21,. TBD,TUT
1181,BPK,110,SURRY,66,59,Amandio Vieira,LEC
1181,BPK,110,SURRY,22,21,. TBD,TUT
1181,BPK,110,SURRY,22,21,<null>,TUT
1181,BPK,110,SURRY,22,17,. TBD,TUT
1181,BPK,110,VANCR,42,20,Andrew Blaber,LEC
1181,BPK,110,VANCR,22,0,. TBD,TUT
1181,BPK,110,VANCR,22,20,. TBD,TUT
1181,BPK,140,BRNBY,70,68,Anne-Kristina Arnold,SEC
1181,BPK,140,BRNBY,70,69,Anne-Kristina Arnold,SEC
1181,BPK,140,BRNBY,210,207,Andrew Blaber,LEC
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,20,. TBD,TUT
1181,BPK,140,BRNBY,21,20,. TBD,TUT
1181,BPK,140,BRNBY,21,21,. TBD,TUT
1181,BPK,140,BRNBY,21,20,. TBD,TUT
1181,BPK,140,SURRY,60,60,Michael Walsh,LEC
1181,BPK,140,SURRY,20,21,<null>,TUT
1181,BPK,140,SURRY,20,20,<null>,TUT
1181,BPK,140,SURRY,20,19,<null>,TUT
1181,BPK,141,BRNBY,60,52,Anthony Leyland,SEC
1181,BPK,141,BRNBY,60,46,Anthony Leyland,SEC
1181,BPK,142,BRNBY,200,195,James Carter,LEC
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,BRNBY,20,19,. TBD,LAB
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,BRNBY,20,19,<null>,LAB
1181,BPK,142,BRNBY,20,17,. TBD,LAB
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,BRNBY,20,20,. TBD,LAB
1181,BPK,142,SURRY,54,50,Michael Walsh,LEC
1181,BPK,142,SURRY,18,15,Michael Walsh,LAB
1181,BPK,142,SURRY,18,18,Michael Walsh,LAB
1181,BPK,142,SURRY,18,17,Michael Walsh,LAB
1181,BPK,143,BRNBY,120,119,Anthony Leyland,LEC
1181,BPK,143,BRNBY,40,40,. TBD,LAB
1181,BPK,143,BRNBY,40,40,. TBD,LAB
1181,BPK,143,BRNBY,40,39,. TBD,LAB
1181,BPK,201,BRNBY,126,125,Anthony Leyland,LEC
1181,BPK,201,BRNBY,21,21,. TBD,TUT
1181,BPK,201,BRNBY,21,22,. TBD,TUT
1181,BPK,201,BRNBY,21,19,. TBD,TUT
1181,BPK,201,BRNBY,21,21,. TBD,TUT
1181,BPK,201,BRNBY,21,21,. TBD,TUT
1181,BPK,201,BRNBY,21,21,. TBD,TUT
1181,BPK,205,BRNBY,105,100,Nadine Wicks,LEC
1181,BPK,205,BRNBY,21,18,. TBD,TUT
1181,BPK,205,BRNBY,21,21,. TBD,TUT
1181,BPK,205,BRNBY,21,20,. TBD,TUT
1181,BPK,205,BRNBY,21,20,. TBD,TUT
1181,BPK,205,BRNBY,21,21,. TBD,TUT
1181,BPK,205,BRNBY,21,0,<null>,TUT
1181,BPK,207,BRNBY,120,119,Dylan Cooke,LEC
1181,BPK,207,BRNBY,20,20,<null>,TUT
1181,BPK,207,BRNBY,20,20,<null>,TUT
1181,BPK,207,BRNBY,20,20,<null>,TUT
1181,BPK,207,BRNBY,20,20,<null>,TUT
1181,BPK,207,BRNBY,20,20,<null>,TUT
1181,BPK,207,BRNBY,20,19,<null>,TUT
1181,BPK,208,BRNBY,10,13,Nadine Wicks,LEC
1181,BPK,208,BRNBY,10,0,<null>,TUT
1181,BPK,208,BRNBY,4,5,. TBD,TUT
1181,BPK,208,BRNBY,3,4,. TBD,TUT
1181,BPK,208,BRNBY,3,4,. TBD,TUT
1181,BPK,241,BRNBY,64,62,Kevin Lunnie,LEC
1181,BPK,241,BRNBY,16,13,<null>,LAB
1181,BPK,241,BRNBY,16,17,<null>,LAB
1181,BPK,241,BRNBY,16,16,<null>,LAB
1181,BPK,241,BRNBY,16,16,<null>,LAB
1181,BPK,301,BRNBY,15,14,James Wakeling,LAB
1181,BPK,303,BRNBY,60,56,Richard Ward,LEC
1181,BPK,303,BRNBY,20,20,Richard Ward,LAB
1181,BPK,303,BRNBY,20,20,Richard Ward,LAB
1181,BPK,303,BRNBY,20,16,Richard Ward,LAB
1181,BPK, 304W,BRNBY,70,70,Richard Ward,LEC
1181,BPK, 304W,BRNBY,18,18,Richard Ward,LAB
1181,BPK, 304W,BRNBY,18,18,Richard Ward,LAB
1181,BPK, 304W,BRNBY,18,18,Richard Ward,LAB
1181,BPK, 304W,BRNBY,16,16,Richard Ward,LAB
1181,BPK,305,BRNBY,100,97,Thomas Claydon,LEC
1181,BPK,305,BRNBY,20,20,. TBD,TUT
1181,BPK,305,BRNBY,20,20,. TBD,TUT
1181,BPK,305,BRNBY,20,17,. TBD,TUT
1181,BPK,305,BRNBY,20,20,. TBD,TUT
1181,BPK,305,BRNBY,20,20,. TBD,TUT
1181,BPK,307,BRNBY,60,5,William Cupples,LEC
1181,BPK,307,BRNBY,60,5,Victoria Claydon,LEC
1181,BPK,307,BRNBY,20,0,<null>,TUT
1181,BPK,307,BRNBY,20,5,. TBD,TUT
1181,BPK,307,BRNBY,20,0,<null>,TUT
1181,BPK,310,VANCR,44,30,Ryan Dill,LEC
1181,BPK,311,BRNBY,46,43,Amandio Vieira,LEC
1181,BPK,311,BRNBY,23,23,. TBD,TUT
1181,BPK,311,BRNBY,23,20,. TBD,TUT
1181,BPK,312,BRNBY,66,43,Matthew White,LEC
1181,BPK,312,BRNBY,22,20,<null>,TUT
